COUNTY,MUNICIPALITY,CLASS
Bucks,Perkasie Borough Pennsylvania,Borough
Bucks,Plumstead Township Pennsylvania,2nd Township
Bucks,Quakertown Borough Pennsylvania,Borough
Bucks,Richland Township Pennsylvania,2nd Township
Bucks,Richlandtown Borough Pennsylvania,Borough
Bucks,Riegelsville Borough Pennsylvania,Borough
Bucks,Sellersville Borough Pennsylvania,Borough
Bucks,Silverdale Borough Pennsylvania,Borough
Bucks,Solebury Township Pennsylvania,2nd Township
Bucks,Springfield Township Pennsylvania,2nd Township
Bucks,Tinicum Township Pennsylvania,2nd Township
Bucks,Trumbauersville Borough Pennsylvania,Borough
Bucks,Tullytown Borough Pennsylvania,Borough
Bucks,Upper Makefield Township Pennsylvania,2nd Township
Bucks,Upper Southampton Township Pennsylvania,2nd Township
Bucks,Warminster Township Pennsylvania,2nd Township
Bucks,Warrington Township Pennsylvania,2nd Township
Bucks,Warwick Township Pennsylvania,2nd Township
Bucks,West Rockhill Township Pennsylvania,2nd Township
Bucks,Wrightstown Township Pennsylvania,2nd Township
Bucks,Yardley Borough Pennsylvania,Borough
Butler,Adams Township Pennsylvania,2nd Township
Butler,Allegheny Township Pennsylvania,2nd Township
Butler,Brady Township Pennsylvania,2nd Township
Butler,Bruin Borough Pennsylvania,Borough
Butler,Buffalo Township Pennsylvania,2nd Township
Butler,Butler City Pennsylvania,City
Butler,Butler Township Pennsylvania,1st Township
Butler,Callery Borough Pennsylvania,Borough
Butler,Center Township Pennsylvania,2nd Township
Butler,Cherry Township Pennsylvania,2nd Township
Butler,Cherry Valley Borough Pennsylvania,Borough
Butler,Chicora Borough Pennsylvania,Borough
Butler,Clay Township Pennsylvania,2nd Township
Butler,Clearfield Township Pennsylvania,2nd Township
Butler,Clinton Township Pennsylvania,2nd Township
Butler,Concord Township Pennsylvania,2nd Township
Butler,Connoquenessing Borough Pennsylvania,Borough
Butler,Connoquenessing Township Pennsylvania,2nd Township
Butler,Cranberry Township Pennsylvania,2nd Township
Butler,Donegal Township Pennsylvania,2nd Township
Butler,East Butler Borough Pennsylvania,Borough
Butler,Eau Claire Borough Pennsylvania,Borough
Butler,Evans City Borough Pennsylvania,Borough
Butler,Fairview Borough Pennsylvania,Borough
Butler,Fairview Township Pennsylvania,2nd Township
Butler,Forward Township Pennsylvania,2nd Township
Butler,Franklin Township Pennsylvania,2nd Township
Butler,Harmony Borough Pennsylvania,Borough
Butler,Harrisville Borough Pennsylvania,Borough
Butler,Jackson Township Pennsylvania,2nd Township
Butler,Jefferson Township Pennsylvania,2nd Township
Butler,Karns City Borough Pennsylvania,Borough
Butler,Lancaster Township Pennsylvania,2nd Township
Butler,Marion Township Pennsylvania,2nd Township
Butler,Mars Borough Pennsylvania,Borough
Butler,Mercer Township Pennsylvania,2nd Township
Butler,Middlesex Township Pennsylvania,2nd Township
Butler,Muddy Creek Township Pennsylvania,2nd Township
Butler,Oakland Township Pennsylvania,2nd Township
Butler,Parker Township Pennsylvania,2nd Township
Butler,Penn Township Pennsylvania,2nd Township
Butler,Petrolia Borough Pennsylvania,Borough
Butler,Portersville Borough Pennsylvania,Borough
Butler,Prospect Borough Pennsylvania,Borough
Butler,Saxonburg Borough Pennsylvania,Borough
Butler,Seven Fields Borough Pennsylvania,Borough
Butler,Slippery Rock Borough Pennsylvania,Borough
Butler,Slippery Rock Township Pennsylvania,2nd Township
Butler,Summit Township Pennsylvania,2nd Township
Butler,Valencia Borough Pennsylvania,Borough
